"날짜","종가","오픈","고가","저가","변동 %"
"2021년 07월 22일","1,150.55","1,149.48","1,153.12","1,146.85","0.11%"
"2021년 07월 21일","1,149.31","1,148.46","1,156.44","1,147.07","0.16%"
"2021년 07월 20일","1,147.47","1,151.92","1,153.07","1,146.55","-0.29%"
"2021년 07월 19일","1,150.83","1,142.50","1,155.59","1,141.85","0.82%"
"2021년 07월 16일","1,141.51","1,141.77","1,144.28","1,137.99","-0.01%"
"2021년 07월 15일","1,141.59","1,144.36","1,148.31","1,138.93","-0.23%"
"2021년 07월 14일","1,144.22","1,150.11","1,152.27","1,142.63","-0.50%"
"2021년 07월 13일","1,149.94","1,147.18","1,152.90","1,141.21","0.27%"
"2021년 07월 12일","1,146.85","1,145.31","1,150.06","1,144.18","0.27%"
"2021년 07월 09일","1,143.73","1,146.81","1,150.52","1,143.18","-0.25%"
"2021년 07월 08일","1,146.59","1,141.65","1,151.69","1,139.55","0.45%"
"2021년 07월 07일","1,141.50","1,136.93","1,144.27","1,135.03","0.42%"
"2021년 07월 06일","1,136.75","1,130.59","1,139.97","1,129.03","0.56%"
"2021년 07월 05일","1,130.42","1,130.77","1,132.72","1,128.13","-0.01%"
"2021년 07월 02일","1,130.53","1,134.51","1,138.60","1,129.60","-0.33%"
"2021년 07월 01일","1,134.33","1,130.63","1,135.98","1,128.28","0.34%"
"2021년 06월 30일","1,130.48","1,131.80","1,132.89","1,125.59","-0.10%"
"2021년 06월 29일","1,131.62","1,130.21","1,134.77","1,127.65","0.14%"
"2021년 06월 28일","1,130.04","1,127.34","1,132.68","1,126.58","0.26%"
"2021년 06월 25일","1,127.12","1,131.87","1,133.10","1,124.10","-0.32%"
"2021년 06월 24일","1,130.78","1,136.03","1,138.69","1,129.97","-0.45%"
"2021년 06월 23일","1,135.85","1,133.73","1,138.63","1,131.17","0.20%"
"2021년 06월 22일","1,133.57","1,131.57","1,138.81","1,130.35","0.19%"
"2021년 06월 21일","1,131.40","1,135.24","1,139.47","1,130.91","-0.31%"
"2021년 06월 18일","1,134.94","1,134.47","1,138.14","1,128.06","0.06%"
"2021년 06월 17일","1,134.30","1,132.84","1,137.00","1,127.35","0.14%"
"2021년 06월 16일","1,132.68","1,118.09","1,137.17","1,115.74","1.40%"
"2021년 06월 15일","1,117.09","1,117.33","1,119.39","1,116.14","0.07%"
"2021년 06월 14일","1,116.33","1,116.55","1,120.05","1,114.45","-0.01%"
"2021년 06월 11일","1,116.40","1,112.56","1,118.54","1,109.25","0.37%"
"2021년 06월 10일","1,112.32","1,117.03","1,119.26","1,111.93","-0.29%"
"2021년 06월 09일","1,115.61","1,117.72","1,119.02","1,112.30","-0.19%"
"2021년 06월 08일","1,117.72","1,110.80","1,118.81","1,108.99","0.64%"
"2021년 06월 07일","1,110.62","1,110.68","1,114.53","1,109.07","0.01%"
"2021년 06월 04일","1,110.52","1,116.64","1,119.51","1,108.77","-0.53%"
"2021년 06월 03일","1,116.46","1,111.10","1,118.82","1,108.86","0.50%"
"2021년 06월 02일","1,110.92","1,108.49","1,114.81","1,106.78","0.23%"
"2021년 06월 01일","1,108.38","1,108.08","1,110.59","1,104.69","0.16%"
"2021년 05월 31일","1,106.58","1,113.83","1,117.42","1,106.50","-0.58%"
"2021년 05월 28일","1,113.08","1,118.72","1,119.35","1,112.86","-0.49%"
"2021년 05월 27일","1,118.55","1,116.79","1,120.32","1,115.07","0.17%"
"2021년 05월 26일","1,116.61","1,122.54","1,123.49","1,114.67","-0.51%"
"2021년 05월 25일","1,122.36","1,123.60","1,126.55","1,120.35","-0.10%"
"2021년 05월 24일","1,123.48","1,127.86","1,129.60","1,122.80","-0.37%"
"2021년 05월 21일","1,127.63","1,127.99","1,129.36","1,122.24","-0.00%"
"2021년 05월 20일","1,127.66","1,131.35","1,134.41","1,127.17","-0.31%"
"2021년 05월 19일","1,131.18","1,127.07","1,133.31","1,124.60","0.38%"
"2021년 05월 18일","1,126.93","1,136.91","1,139.74","1,125.64","-0.86%"
"2021년 05월 17일","1,136.73","1,126.52","1,139.74","1,125.95","0.97%"
"2021년 05월 14일","1,125.79","1,126.89","1,131.31","1,125.23","-0.08%"
"2021년 05월 13일","1,126.73","1,132.92","1,136.13","1,126.17","-0.53%"
"2021년 05월 12일","1,132.73","1,119.67","1,133.94","1,118.74","1.17%"
"2021년 05월 11일","1,119.58","1,116.83","1,122.39","1,114.95","0.26%"
"2021년 05월 10일","1,116.68","1,112.97","1,118.10","1,110.49","0.49%"
"2021년 05월 07일","1,111.23","1,120.45","1,123.67","1,109.48","-0.81%"
"2021년 05월 06일","1,120.28","1,125.02","1,127.02","1,119.63","-0.39%"
"2021년 05월 05일","1,124.72","1,125.94","1,128.30","1,122.18","-0.09%"
"2021년 05월 04일","1,125.77","1,120.50","1,128.92","1,118.84","0.48%"
"2021년 05월 03일","1,120.34","1,117.76","1,124.94","1,115.51","0.28%"
"2021년 04월 30일","1,117.16","1,107.81","1,119.45","1,106.52","0.86%"
"2021년 04월 29일","1,107.63","1,110.06","1,111.17","1,105.30","-0.20%"
"2021년 04월 28일","1,109.88","1,113.43","1,115.52","1,108.31","-0.31%"
"2021년 04월 27일","1,113.33","1,110.44","1,114.55","1,108.27","0.28%"
"2021년 04월 26일","1,110.27","1,115.85","1,116.95","1,108.96","-0.40%"
"2021년 04월 23일","1,114.72","1,120.18","1,121.54","1,113.94","-0.36%"
"2021년 04월 22일","1,118.79","1,116.70","1,121.69","1,114.13","0.22%"
"2021년 04월 21일","1,116.35","1,117.45","1,121.61","1,114.78","-0.08%"
"2021년 04월 20일","1,117.28","1,115.51","1,119.74","1,110.29","0.17%"
"2021년 04월 19일","1,115.33","1,117.05","1,120.26","1,112.94","-0.10%"
"2021년 04월 16일","1,116.50","1,116.85","1,121.57","1,113.06","-0.02%"
"2021년 04월 15일","1,116.68","1,116.26","1,119.82","1,113.01","0.05%"
"2021년 04월 14일","1,116.08","1,121.55","1,123.91","1,112.09","-0.47%"
"2021년 04월 13일","1,121.37","1,125.23","1,128.42","1,120.38","-0.26%"
"2021년 04월 12일","1,124.32","1,121.77","1,127.28","1,120.29","0.30%"
"2021년 04월 09일","1,120.98","1,116.75","1,122.58","1,113.15","0.46%"
"2021년 04월 08일","1,115.83","1,119.20","1,121.56","1,114.59","-0.29%"
"2021년 04월 07일","1,119.03","1,119.29","1,120.36","1,114.67","-0.01%"
"2021년 04월 06일","1,119.17","1,125.04","1,125.68","1,116.57","-0.45%"
"2021년 04월 05일","1,124.18","1,129.69","1,130.03","1,122.45","-0.40%"
"2021년 04월 02일","1,128.64","1,128.86","1,130.38","1,126.29","-0.01%"
"2021년 04월 01일","1,128.72","1,127.96","1,133.82","1,125.31","0.14%"
"2021년 03월 31일","1,127.17","1,133.54","1,134.68","1,125.32","-0.48%"
"2021년 03월 30일","1,132.59","1,132.56","1,136.29","1,131.42","0.09%"
"2021년 03월 29일","1,131.56","1,128.95","1,136.41","1,128.77","0.27%"
"2021년 03월 26일","1,128.52","1,135.24","1,136.09","1,128.07","-0.58%"
"2021년 03월 25일","1,135.12","1,135.40","1,138.02","1,131.93","0.02%"
"2021년 03월 24일","1,134.90","1,133.40","1,135.96","1,130.24","0.18%"
"2021년 03월 23일","1,132.90","1,126.49","1,134.48","1,125.02","0.61%"
"2021년 03월 22일","1,126.00","1,129.47","1,134.01","1,125.61","-0.28%"
"2021년 03월 19일","1,129.12","1,128.25","1,134.80","1,125.31","0.12%"
"2021년 03월 18일","1,127.75","1,121.91","1,131.30","1,120.04","0.58%"
"2021년 03월 17일","1,121.21","1,129.93","1,134.31","1,120.65","-0.69%"
"2021년 03월 16일","1,129.00","1,132.85","1,135.91","1,128.14","-0.30%"
"2021년 03월 15일","1,132.35","1,136.50","1,138.78","1,130.92","-0.32%"
"2021년 03월 12일","1,136.00","1,130.85","1,139.35","1,127.27","0.50%"
"2021년 03월 11일","1,130.35","1,136.91","1,140.99","1,128.90","-0.49%"
"2021년 03월 10일","1,135.91","1,135.91","1,145.60","1,135.31","0.09%"
"2021년 03월 09일","1,134.91","1,141.83","1,144.85","1,133.38","-0.52%"
"2021년 03월 08일","1,140.83","1,128.85","1,144.07","1,127.06","1.14%"
"2021년 03월 05일","1,128.00","1,131.03","1,137.27","1,124.04","-0.25%"
"2021년 03월 04일","1,130.87","1,127.05","1,133.06","1,123.36","0.43%"
"2021년 03월 03일","1,126.05","1,125.29","1,128.05","1,116.95","0.09%"
"2021년 03월 02일","1,125.01","1,113.53","1,128.28","1,102.06","1.05%"
"2021년 03월 01일","1,113.33","1,124.89","1,125.15","1,113.09","-0.94%"
"2021년 02월 26일","1,123.89","1,119.47","1,130.33","1,118.41","0.46%"
"2021년 02월 25일","1,118.77","1,107.54","1,121.61","1,105.70","1.04%"
"2021년 02월 24일","1,107.27","1,110.22","1,113.75","1,106.08","-0.26%"
"2021년 02월 23일","1,110.13","1,112.58","1,114.81","1,108.24","-0.13%"
"2021년 02월 22일","1,111.59","1,106.02","1,116.10","1,102.83","0.66%"
"2021년 02월 19일","1,104.27","1,107.08","1,111.28","1,102.22","-0.24%"
"2021년 02월 18일","1,106.96","1,106.50","1,110.15","1,103.19","0.12%"
"2021년 02월 17일","1,105.61","1,107.58","1,110.81","1,104.49","-0.09%"
"2021년 02월 16일","1,106.58","1,102.31","1,109.55","1,096.91","0.48%"
"2021년 02월 15일","1,101.31","1,104.37","1,106.00","1,100.70","-0.12%"
"2021년 02월 12일","1,102.59","1,103.12","1,107.59","1,101.73","0.04%"
"2021년 02월 11일","1,102.12","1,106.48","1,108.02","1,102.05","-0.30%"
"2021년 02월 10일","1,105.48","1,111.01","1,114.16","1,103.59","-0.49%"
"2021년 02월 09일","1,110.88","1,117.31","1,118.75","1,110.08","-0.42%"
"2021년 02월 08일","1,115.61","1,117.76","1,122.17","1,116.05","-0.10%"
"2021년 02월 05일","1,116.77","1,120.11","1,127.85","1,116.22","-0.29%"
"2021년 02월 04일","1,120.00","1,113.58","1,122.74","1,112.48","0.59%"
"2021년 02월 03일","1,113.46","1,115.51","1,117.25","1,111.80","-0.17%"
"2021년 02월 02일","1,115.37","1,117.44","1,119.70","1,113.65","-0.10%"
"2021년 02월 01일","1,116.51","1,118.43","1,120.98","1,115.55","-0.10%"
"2021년 01월 29일","1,117.64","1,113.24","1,121.76","1,112.15","0.46%"
"2021년 01월 28일","1,112.52","1,108.42","1,121.36","1,107.49","0.37%"
"2021년 01월 27일","1,108.38","1,102.01","1,109.90","1,100.87","0.67%"
