,buySpread,sellSpread,bestSpotPrice,spotAvgPrice,bestFuturePrice,futreAvgPrice,spotSlippage,futureSlippage,outOfRange_S,outOfRange_F
43,0.0,0.6523497205189135,40347.99,40353.406233495916,40611.2,40585.595811214414,0.013423800035437396,0.06304711209120308,False,False
44,0.0,0.724247363063251,40305.29,40314.65832774609,40597.2,40591.25611636844,0.02324341977464433,0.014641117199117948,False,False
45,0.0,0.7081007289615442,40266.87,40266.87,40552.0,40548.7876486517,0.0,0.00792156083128338,False,False
46,0.0,0.41971673154687406,40281.93,40282.18148102115,40451.0,40449.44379964242,0.0006243023140910557,0.0038471245644935677,False,False
47,0.0,0.37296646132242245,40277.08,40281.55634993638,40427.3,40425.70075522082,0.011113888932306436,0.003955853542481371,False,False
48,0.0,0.22936884569107033,40899.19,40935.93490940146,40993.0,40989.40894162732,0.0898426335618362,0.008760174597321448,False,False
49,0.0,0.23817518455395187,40860.68,40881.15454495926,40958.0,40956.47280152203,0.05010818459031817,0.0037286939742378553,False,False
50,0.0,0.3428395658263427,40832.51,40836.92298283207,40972.5,40970.18395662599,0.010807522809804267,0.0056526777082487635,False,False
51,-0.49627791563275436,0.0,40300.0,40299.88837747594,40100.0,40100.0,0.000276978967896063,0.0,True,False
52,0.0,0.5641836797744137,39974.57,40029.9551168576,40200.1,40200.1,0.13855087586333067,0.0,False,False
53,0.0,0.25069426104214676,39984.96,40033.620130196614,40085.2,40030.38340704384,0.1216960832188272,0.13675020445490674,False,False
54,0.0,0.350372877683923,39880.37,39934.91667936446,40020.1,40020.1,0.13677576051691376,0.0,False,False
55,0.0,0.84137972297242,39778.71,39792.8113099349,40113.4,39907.150162720485,0.03544938972354861,0.5141669299523756,False,False
56,0.0,0.7414577728609898,39773.0,39774.806272561815,40067.9,40059.93795534664,0.004541454156877013,0.019871379965905486,False,True
57,0.0,0.5135258708967961,39696.15,39760.3237175755,39900.0,39897.60852459016,0.16166232134727673,0.005993672706358039,False,True
58,0.0,0.4167126050454046,39636.43,39641.64069487677,39801.6,39793.73966458469,0.013146226531422441,0.01974879254931771,False,False
59,-0.4225482971108598,0.0,39500.81,39430.35795716387,39333.9,39356.38319082536,0.17835594469107946,0.05715983115165752,True,False
